enteredby,2023-2024,bill.no,org,support.lvl,sponsor
Ahmed,2023-2024,AB-1490,Advisory Council for Sourcewise,3,0
Ahmed,2023-2024,AB-1490,AIDS Healthcare Foundation,3,1
Ahmed,2023-2024,AB-1490,California Apartment Association,3,0
Ahmed,2023-2024,AB-1490,California Contract Cities Association,0,0
Ahmed,2023-2024,AB-1490,City of Rosemead,0,0
Ahmed,2023-2024,AB-1490,City of San Marcos,0,0
Ahmed,2023-2024,AB-1490,City of Santa Clarita,0,0
Ahmed,2023-2024,AB-1490,City of Thousand Oaks,0,0
Ahmed,2023-2024,AB-1490,City of Whittier,0,0
Ahmed,2023-2024,AB-1490,East Bay YIMBY,3,0
Ahmed,2023-2024,AB-1490,Grow the Richmond,3,0
Ahmed,2023-2024,AB-1490,How to ADU,3,0
Ahmed,2023-2024,AB-1490,League of California Cities,0,0
Ahmed,2023-2024,AB-1490,Mountain View YIMBY,3,0
Ahmed,2023-2024,AB-1490,Northern Neighbors,3,0
Ahmed,2023-2024,AB-1490,Peninsula for Everyone,3,0
Ahmed,2023-2024,AB-1490,People for Housing Orange County,3,0
Ahmed,2023-2024,AB-1490,Santa Rosa YIMBY,3,0
Ahmed,2023-2024,AB-1490,SLO County YIMBY,3,0
Ahmed,2023-2024,AB-1490,South Bay YIMBY,3,0
Ahmed,2023-2024,AB-1490,Southside Forward,3,0
Ahmed,2023-2024,AB-1635,California Housing Partnership,3,0
Ahmed,2023-2024,AB-1635,Circulate San Diego,3,0
Ahmed,2023-2024,AB-1635,City of San Diego,3,0
Ahmed,2023-2024,AB-1865,California Association of Realtors,3,0
Ahmed,2023-2024,AB-1865,California Credit Union League,3,0
Ahmed,2023-2024,AB-1865,California Federation of Teachers,0,0
Ahmed,2023-2024,AB-1865,California Teachers Association,0,0
Ahmed,2023-2024,AB-2243,21st Century Alliance,3,0
Ahmed,2023-2024,AB-2243,350 Bay Area Action,0,0
Ahmed,2023-2024,AB-2243,Abundant Housing LA,3,0
Ahmed,2023-2024,AB-2243,"American Planning Association, California Chapter",3,0
Ahmed,2023-2024,AB-2243,Asian Pacific Environmental Network Action,0,0
Ahmed,2023-2024,AB-2243,Beverly-Vermont Community Land Trust,0,0
Ahmed,2023-2024,AB-2243,California Apartment Association,3,0
Ahmed,2023-2024,AB-2243,California Business Properties Association,3,0
Ahmed,2023-2024,AB-2243,California Community Builders,3,0
Ahmed,2023-2024,AB-2243,California Conference of Carpenters,3,1
Ahmed,2023-2024,AB-2243,"California Environmental Justice Alliance Action, a Project of Tides Advocacy",0,0
Ahmed,2023-2024,AB-2243,California Environmental Voters,0,0
Ahmed,2023-2024,AB-2243,California Housing Consortium,3,0
Ahmed,2023-2024,AB-2243,California Nurses for Environmental Health and Justice,0,0
Ahmed,2023-2024,AB-2243,California School Employees Association,3,0
Ahmed,2023-2024,AB-2243,California YIMBY,3,0
